number,val_loss,n_params,datetime_start,datetime_complete,duration,params_film_mlp_layers,params_film_mlp_neurons,params_hidden_channels,params_n_layers,params_n_modes,user_attrs_best_val_loss,user_attrs_n_params,user_attrs_n_params_M,system_attrs_NSGAIISampler:generation,state,params_M
30,0.432310644865036,3884995.0,2026-03-21 04:21:27.537887,2026-03-21 04:41:23.870088,0 days 00:19:56.332201,4,64,32,6,24,0.432310644865036,3884995,3.88,1,COMPLETE,3.884995
31,0.5069071273803711,1142899.0,2026-03-21 04:41:23.870088,2026-03-21 04:49:02.606439,0 days 00:07:38.736351,6,64,16,4,32,0.5069071273803711,1142899,1.14,1,COMPLETE,1.142899
32,0.4808667678833008,1126259.0,2026-03-21 04:49:02.606439,2026-03-21 04:56:40.718272,0 days 00:07:38.111833,2,64,16,4,32,0.4808667678833008,1126259,1.13,1,COMPLETE,1.126259
33,0.38307716250419616,8980739.0,2026-03-21 04:56:40.718272,2026-03-21 05:12:06.994145,0 days 00:15:26.275873,6,64,64,2,32,0.38307716250419616,8980739,8.98,1,COMPLETE,8.980739
34,0.31763558053970337,15461891.0,2026-03-21 05:12:06.994145,2026-03-21 05:50:50.071842,0 days 00:38:43.077697,4,64,64,6,24,0.31763558053970337,15461891,15.46,1,COMPLETE,15.461891
35,0.39268350648880007,5212675.0,2026-03-21 05:50:50.071842,2026-03-21 06:05:45.507505,0 days 00:14:55.435663,4,128,64,2,24,0.39268350648880007,5212675,5.21,1,COMPLETE,5.212675
36,0.4819636116027832,1134579.0,2026-03-21 06:05:45.507505,2026-03-21 06:13:23.090297,0 days 00:07:37.582792,4,64,16,4,32,0.4819636116027832,1134579,1.13,1,COMPLETE,1.134579
37,0.5899200830459594,526147.0,2026-03-21 06:13:23.090297,2026-03-21 06:32:52.682195,0 days 00:19:29.591898,6,32,32,6,8,0.5899200830459594,526147,0.53,1,COMPLETE,0.526147
38,0.4648214583396912,1295491.0,2026-03-21 06:32:52.682195,2026-03-21 06:40:45.578048,0 days 00:07:52.895853,6,32,32,2,24,0.4648214583396912,1295491,1.3,1,COMPLETE,1.295491
39,0.467792959690094,2084227.0,2026-03-21 06:40:45.578048,2026-03-21 07:18:01.577909,0 days 00:37:15.999861,2,64,64,6,8,0.467792959690094,2084227,2.08,1,COMPLETE,2.084227
40,0.516065821647644,601283.0,2026-03-21 07:18:01.577909,2026-03-21 07:22:29.167388,0 days 00:04:27.589479,4,128,16,2,32,0.516065821647644,601283,0.6,1,COMPLETE,0.601283
41,0.3733744406700134,9013763.0,2026-03-21 07:22:29.167388,2026-03-21 07:37:56.445503,0 days 00:15:27.278115,4,128,64,2,32,0.3733744406700134,9013763,9.01,1,COMPLETE,9.013763
42,0.40357457208633424,4503267.0,2026-03-21 07:37:56.445503,2026-03-21 07:52:10.272091,0 days 00:14:13.826588,6,64,32,4,32,0.40357457208633424,4503267,4.5,1,COMPLETE,4.503267
43,0.4024178614616394,4494947.0,2026-03-21 07:52:10.272091,2026-03-21 08:06:24.518156,0 days 00:14:14.246065,4,64,32,4,32,0.4024178614616394,4494947,4.49,1,COMPLETE,4.494947
44,0.45081678009033205,2254211.0,2026-03-21 08:06:24.518156,2026-03-21 08:14:26.785308,0 days 00:08:02.267152,2,128,32,2,32,0.45081678009033205,2254211,2.25,1,COMPLETE,2.254211
45,0.6927099046707154,94067.0,2026-03-21 08:14:26.785308,2026-03-21 08:21:50.627626,0 days 00:07:23.842318,6,32,16,4,8,0.6927099046707154,94067,0.09,1,COMPLETE,0.094067
46,0.39077671575546263,8957891.0,2026-03-21 08:21:50.628144,2026-03-21 08:37:16.967771,0 days 00:15:26.339627,4,32,64,2,32,0.39077671575546263,8957891,8.96,1,COMPLETE,8.957891
47,0.506898597240448,1395395.0,2026-03-21 08:37:16.967771,2026-03-21 09:03:32.966556,0 days 00:26:15.998785,2,64,64,4,8,0.506898597240448,1395395,1.4,1,COMPLETE,1.395395
48,0.57390287399292,351651.0,2026-03-21 09:03:32.967562,2026-03-21 09:17:32.653898,0 days 00:13:59.686336,4,32,32,4,8,0.57390287399292,351651,0.35,1,COMPLETE,0.351651
49,0.4027614269256592,5156803.0,2026-03-21 09:17:32.653898,2026-03-21 09:33:02.353331,0 days 00:15:29.699433,4,32,64,2,24,0.4027614269256592,5156803,5.16,1,COMPLETE,5.156803
